accom_name,type,description,address,latitude,longitude,accom_tel,ava_dates_start,ava_dates_end
교동가온,PENSION,"봄에는 따사로운 햇살, 여름엔 빗방울 소리와 풍경소리, 우수수 떨어지는 가을 낙엽과 기와 너머로 눈이 내리는 곳입니다 이처럼 사계절 날마다 아름다운 풍경과 함께하여 기분 좋은 휴식을 돕겠습니다 전주한옥마을 안에 위치하여, 전주의 다양한 관광명소를 도보로 이용할 수 있습니다",전북특별자치도 전주시 완산구 은행로 73-1,127.1530502,35.81346725,063-231-2355,2024-12-24,2024-12-31
교동살래,GUESTHOUSE,교동살래는 아름다운 정원과 포근하고 쾌적한 잠자리는 물론 전통한옥의 멋스러움을 살린 정감게스트하우스입니다 :),전북특별자치도 전주시 완산구 전주천동로 66-1,127.1533697,35.81129528,010-9043-6743,2024-12-24,2024-12-31
베스트웨스턴플러스전주호텔,HOTEL,전주의 주요 관광지와의 접근성이 뛰어나 편안하고 즐거운 휴식을 누릴 수 있는 호텔입니다 깔끔하고 감각적인 외관과 청결하고 쾌적하게 관리되는 객실이 준비되어 있습니다,전북특별자치도 전주시 완산구 현무1길 41,127.14702,35.82247446,010-8945-3419,2024-12-24,2024-12-31
금농헌,PENSION,전주한옥마을내에 위치한 한옥독채펜션입니다,전북특별자치도 전주시 완산구 관선5길 32-3,127.1574469,35.82033877,010-4619-7002,2024-12-24,2024-12-31
더메이호텔,HOTEL,한결같이 품격 있는 서비스와 시설로 고객에게 깊은 감동을 주는 브랜드를 지향하는 호텔입니다 모던하고 깔끔한 느낌의 외관과 항상 청결하고 쾌적하게 관리되는 객실이 마련되어 있습니다,전북특별자치도 전주시 덕진구 기린대로 800,127.0957069,35.85988875,063-244-2908,2024-12-24,2024-12-31
베스트웨스턴플러스전주호텔,HOTEL,전주의 주요 관광지와의 접근성이 뛰어나 편안하고 즐거운 휴식을 누릴 수 있는 호텔입니다 깔끔하고 감각적인 외관과 청결하고 쾌적하게 관리되는 객실이 준비되어 있습니다,전북특별자치도 전주시 완산구 현무1길 41,127.14702,35.82247446,063-284-1803,2024-12-24,2024-12-31
관음사가는길펜션,PENSION,한라산 등반로에서 제일 가깝고 한라산의 아름다운 광경과 제주풍경을 감상할 수 있는 펜션입니다 저녁에는 맛있는 바비큐 파티를 즐길 수 있고 제주 중앙에 위치하여 여행 시 이동하기에 편리합니다,제주특별자치도 제주시 산록북로 819,126.5544691,33.43754884,064-724-9931,2024-12-24,2024-12-31
귤익는마을,PENSION,사람과 자연이 어울리는 곳 낭만의 섬 제주에 위치한 귤 익는 마을은 돌담과 감귤 과수원이 자연 그대로 어우러져 있어 마음을 편안하게 해 주고 넓은 잔디마당에 있는 야자수와 철쭉 등이 아기자기한 정원을 이루고 있습니다. 바로 옆에 있는 과수원에서 귤나무에 꽃이 피고 열매가 달리고 노랗게 익어가는 모습을 볼 수 있고 수확기가 되면 맛있는 귤을 마음껏 맛보실 수 있습니다.,제주특별자치도 서귀포시 성산읍 신천서로 11,126.8501206,33.34411112,064-787-0543,2024-12-24,2024-12-31
그랜드 조선 제주,HOTEL,조선호텔이 지난 100여 년간 고객과 함께 해온 역량과 경험을 집대성하여 발전시킨 그랜드 조선은 호스피탈리티 산업의 본질 탐구와 혁신을 통해 세계적 수준의 호텔 경험을 제공합니다 아무런 준비 없이 찾아도 머무는 동안 최적의 편안함과 최고의 즐거움을 느낄 수 있는 곳 선제적이고 유연한 서비스와 끊임없이 새로운 경험들로 잊지 못할 즐거운 여정을 선사합니다,제주특별자치도 서귀포시 중문관광로72번길 60,126.4063028,33.25015886,010-8818-4658,2024-12-24,2024-12-31
그랜드 하얏트 제주,HOTEL,"그랜드 하얏트 제주는 제주 공항에서 10분 거리에 위치하며 최고의 전망을 자랑하는 제주의 새로운 랜드마크입니다 65㎡부터 시작하는 여유로운 규모의 1,600개의 객실과 스위트룸, 14개의 레스토랑과 바, 2개 프리미엄스파, 한 컬렉션 쇼핑몰 및 야외 수영장에서 편안하고 여유로운 휴식을 제공드립니다",제주특별자치도 제주시 노형동,126.4816104,33.48542849,010-8899-6575,2024-12-24,2024-12-31
그린사이드,PENSION,중문 관광단지 근처에 위치해 접근성이 좋습니다 넷플릭스 시청이 가능합니다,제주특별자치도 서귀포시 천제연로 51,126.4112189,33.25648324,064-738-0074,2024-12-24,2024-12-31
그림리조트,RESORT,넓은 바다 같은 마음을 다 채우는 듯한 아름다운 리조트입니다 제주시 최고의 경관으로 잘 알려진 용담 해안도로에 자리 잡고 있습니다,제주특별자치도 제주시 서해안로 620-1,126.503494,33.51621432,064-713-0002,2024-12-24,2024-12-31
글로스터호텔 제주,HOTEL,"천혜의 자연경관이 수려한 세계적인 휴양 관광지인 제주도에 프리미엄 비즈니스 호텔 글로스터호텔제주가 제주 국제공항과 10분 거리에 위치해 있습니다 비즈니스 여행, 휴가 등 다양한 목적으로 방문하는 고객들에게 안전하고 편안한 서비스를 제공할 것을 약속드리며 호텔내 레스토랑과 연회 시설은 물론 다양한 프로모션과 상품으로 더욱 행복한 하루를 만들어 드리겠습니다",제주특별자치도 제주시 삼무로 57 (연동),126.4926622,33.49014481,010-8903-3913,2024-12-24,2024-12-31
금단영,PENSION,제주 판포포구 근처 해안 도로변에 있는 단독 가족 펜션입니다 에메랄드빛 비양도의 환상적인 저녁노을을 감상할 수 있습니다,제주특별자치도 제주시 한경면 일주서로 4466,126.1936577,33.36212371,010-8716-1579,2024-12-24,2024-12-31
금호리조트 제주,RESORT,"세계 7대 자연경관으로 선정된 제주도, 그 곳에서 가장 아름다운 남원 해안경승지에 위치한 제주리조트는 해안절벽과 푸른 바다가 어우러져 영화 속 한 장면처럼 멋진 풍경을 자랑합니다 따뜻한 남쪽의 최고여행지 금호제주리조트에서 가족, 연인과 함께 특별한 추억을 만들어 보세요",제주특별자치도 서귀포시 남원읍 태위로 522-12,126.7028238,33.27375263,064-766-8000,2024-12-24,2024-12-31
까델아스 리조트,RESORT,"레스토랑, 바베큐, 세미나실, 편의점 보유하고 있습니다 바다풍경이 아름다운 하귀~애월해안도로변 특급 바다전망입니다",제주특별자치도 제주시 애월읍 신엄9길 50,126.3671845,33.47588884,064-799-7996,2024-12-24,2024-12-31
